isin,reuters_code,company_en,company_ar,category_en,category_ar
EGS743O1C013,EFIH.CA,E-finance For Digital and Financial Investments,اي فاينانس للاستثمارات المالية والرقمية,Non-bank Financial Services,الخدمات المالية غير المصرفية
EGS3E181C010,EGAL.CA,Egypt Aluminum,مصر للالومنيوم,Basic Resources,الموارد الأساسية
EGS38201C017,EGCH.CA,Egyptian Chemical Industries (Kima),الصناعات الكيماوية المصرية - كيما,Basic Resources,الموارد الأساسية
EGS70431C019,EGTS.CA,Egyptian for Tourism Resorts,المصرية للمنتجعات السياحية,Real Estate,العقارات
EGS38081C013,PHAR.CA,Egyptian International Pharmaceuticals (EIPICO),المصرية الدولية للصناعات الدوائية - ايبيكو,Health Care & Pharmaceuticals,الرعاية الصحية والأدوية
EGS69082C013,EKHO.CA,Egyptian Kuwaiti Holding,القابضة المصرية الكويتية,Non-bank Financial Services,الخدمات المالية غير المصرفية
EGS69081C023,EKHOA.CA,Egyptian Kuwaiti Holding-EGP,القابضة المصرية الكويتية بالجنية,Non-bank Financial Services,الخدمات المالية غير المصرفية
EGS42051C010,ETRS.CA,Egyptian Transport (EGYTRANS),المصرية لخدمات النقل (ايجيترانس),Shipping & Transportation Services,خدمات الشحن والنقل
EGS65341C017,EHDR.CA,Egyptians Housing Development & Reconstruction,المصريين للاسكان والتنمية والتعمير,Real Estate,العقارات
EGS69021C011,AFDI.CA,El Ahli Investment and Development,الاهلي للتنمية والاستثمار,Non-bank Financial Services,الخدمات المالية غير المصرفية
