name_en,name_ar,id,category
Ceramic & Porcelain,العامة لمنتجات الخزف والصيني,EGS3C111C019,Building Materials
Certificates Of Odin Egyptian Equity Investment Fund-KASAB,وثائق صندوق استثمار أودن للاستثمار في الاسهم المصرية -كسب,EGS696Z1C017,Non-bank financial services
Cleopatra Hospital Company,شركة مستشفي كليوباترا,EGS729J1C018,Health Care & Pharmaceuticals
Commercial International Bank-Egypt (CIB),البنك التجاري الدولي -مصر (سى اى بى ),EGS60121C018,Banks
Concrete Fashion Group For Commercial& Industrial Investment,كونكريت فاشون جروب للاستثمارات التجارية والصناعية,EGS672I2C014,Textile & Durables
Contact Financial Holding,كونتكت المالية القابضة,EGS738I1C018,Non-bank financial services
Copper For Commercial Investment & Real Estate Development,كوبر للاستثمار التجارى و التطوير العقارى,EGS65511C015,Contracting & Construction Engineering
Credit Agricole Egypt,بنك كريدي اجريكول مصر,EGS60041C018,Banks
Damietta Container and Cargo Handling,دمياط لتداول الحاويات و البضائع,EGS42121C011,Shipping & Transportation Services
Delta For Printing & Packaging,دلتا للطباعة والتغليف,EGS370W1C013,"Industrial Goods , Services and Automobiles"
Delta Insurance,الدلتا للتأمين,EGS63031C016,Non-bank financial services
Delta Sugar,الدلتا للسكر,EGS30201C015,"Food, Beverages and Tobacco"
Development & Engineering Consultants,التعمير والاستشارات الهندسية,EGS65081C019,Real Estate
Dice Sport & Casual Wear,دايس للملابس الجاهزة,EGS33321C018,Textile & Durables
Digitize for Investment And Technology,ديجيتايز للاستثمار والتقنية,EGS74F71C015,"IT , Media & Communication Services"
E-finance For Digital and Financial Investments,اي فاينانس للاستثمارات المالية والرقمية,EGS743O1C013,"IT , Media & Communication Services"
EFG Holding,مجموعة اي اف جي القابضة,EGS69101C011,Non-bank financial services
EGX 30 INDEX ETF,EGX 30 INDEX ETF-وثائق استثمار شركة صناديق المؤشرات,EGS69491M015,Non-bank financial services
ELSWEDY ELECTRIC,السويدى اليكتريك,EGS3G0Z1C014,"Industrial Goods , Services and Automobiles"
East Delta Flour Mills,مطاحن شرق الدلتا,EGS30351C018,"Food, Beverages and Tobacco"
Eastern Company,الشرقية - ايسترن كومباني,EGS37091C013,"Food, Beverages and Tobacco"
Edita Food Industries S.A.E,ايديتا للصناعات الغذائية,EGS305I1C011,"Food, Beverages and Tobacco"
Egypt Aluminum,مصر للالومنيوم,EGS3E181C010,Basic Resources
Egypt for Poultry,المصرية للدواجن,EGS02211C018,"Food, Beverages and Tobacco"
Egyptian Arabian(Themar)Comp. For Securities&Bonds Brok. EAC,EAC المصرية العربية (ثمار) لتداول الاوراق المالية والسندات,EGS681D1C010,Non-bank financial services
Egyptian Chemical Industries (Kima),الصناعات الكيماوية المصرية - كيما,EGS38201C017,Basic Resources
Egyptian Financial & Industrial,المالية و الصناعية المصرية,EGS38381C017,Basic Resources
Egyptian Gulf Bank,البنك المصري الخليجي,EGS60182C010,Banks
Egyptian Gulf Marseilia For Real Estate Investment,مرسيليا المصرية الخليجية للاستثمار العقارى,EGS739Z1C016,Real Estate
Egyptian International Pharmaceuticals (EIPICO),المصرية الدولية للصناعات الدوائية - ايبيكو,EGS38081C013,Health Care & Pharmaceuticals
Egyptian Iron & Steel,الحديد والصلب المصرية,EGS3D061C015,Basic Resources
